"G36144" "G36291" "G64946" "G65809" "G66142" "G66147" "G66652" "G68204" "G68397" "G68498" "G72911" "G73845"
"OTU2894" 0 0 0 0 0 0 0 0 0 1 0 0
"OTU2896" 0 0 0 0 0 0 0 1 0 12 0 0
"OTU2899" 0 1 0 0 0 0 0 0 0 0 0 0
"OTU29" 0 1 3 0 227 0 0 0 2184 1 0 0
"OTU2909" 0 0 43 0 0 0 0 0 0 0 0 0
"OTU2910" 0 0 0 0 4 1 0 0 0 0 0 0
"OTU2913" 0 4 0 0 0 15 0 0 0 0 0 0
"OTU2915" 0 9 10 0 3 15 0 0 3 0 0 0
"OTU2917" 0 1 0 0 3 24 0 43 9 5 0 0
"OTU2930" 0 0 0 0 0 0 0 0 0 366 0 0
"OTU2933" 1 0 0 0 0 0 0 0 0 0 0 0
"OTU2934" 1 0 0 0 0 0 0 0 0 0 0 0
"OTU2938" 5 0 0 0 0 0 0 0 0 0 0 0
"OTU2945" 0 0 0 0 0 0 0 0 0 2 0 0
"OTU2946" 0 0 0 0 0 0 0 0 0 4 0 0
"OTU295" 5 0 0 0 1 0 0 0 0 0 0 0
